update,env_steps,active_side,block_index,red_policy_loss,red_entropy,red_approx_kl,red_clip_fraction,red_grad_norm,red_advantage_mean,red_advantage_std,red_advantage_nonzero_rate,red_value_loss,red_critic_grad_norm,blue_policy_loss,blue_entropy,blue_approx_kl,blue_clip_fraction,blue_grad_norm,blue_advantage_mean,blue_advantage_std,blue_advantage_nonzero_rate,blue_value_loss,blue_critic_grad_norm,red_mean_episode_return,blue_mean_episode_return,mean_episode_length,red_win_rate,blue_win_rate,draw_rate,boundary_rate,collision_rate,scenario_tail_chase_count,scenario_offset_head_on_count,scenario_crossing_count,tail_rear_red_count,tail_rear_blue_count,red_within_4000_rate,red_attack_distance_entry_rate,red_ata_gate_rate,red_aa_gate_rate,red_distance_and_ata_entry_rate,red_distance_and_aa_entry_rate,red_ata_and_aa_entry_rate,red_full_attack_envelope_entry_rate,red_yaw_rate_saturation_rate,red_pitch_rate_saturation_rate,red_acceleration_saturation_rate,red_nx_saturation_rate,red_nz_saturation_rate,red_phi_saturation_rate,red_acceleration_tracking_mae,red_acceleration_tracking_p95,red_pitch_rate_tracking_mae,red_pitch_rate_tracking_p95,red_yaw_rate_tracking_mae,red_yaw_rate_tracking_p95,red_action_yaw_mean,red_action_yaw_std,red_action_pitch_mean,red_action_pitch_std,red_action_speed_mean,red_action_speed_std,blue_within_4000_rate,blue_attack_distance_entry_rate,blue_ata_gate_rate,blue_aa_gate_rate,blue_distance_and_ata_entry_rate,blue_distance_and_aa_entry_rate,blue_ata_and_aa_entry_rate,blue_full_attack_envelope_entry_rate,blue_yaw_rate_saturation_rate,blue_pitch_rate_saturation_rate,blue_acceleration_saturation_rate,blue_nx_saturation_rate,blue_nz_saturation_rate,blue_phi_saturation_rate,blue_acceleration_tracking_mae,blue_acceleration_tracking_p95,blue_pitch_rate_tracking_mae,blue_pitch_rate_tracking_p95,blue_yaw_rate_tracking_mae,blue_yaw_rate_tracking_p95,blue_action_yaw_mean,blue_action_yaw_std,blue_action_pitch_mean,blue_action_pitch_std,blue_action_speed_mean,blue_action_speed_std,eval_red_win_rate,eval_blue_win_rate,eval_draw_rate,eval_decisive_rate,eval_boundary_rate,eval_collision_rate,eval_mean_episode_length,eval_red_within_4000_rate,eval_red_attack_distance_entry_rate,eval_red_ata_gate_rate,eval_red_aa_gate_rate,eval_red_distance_and_ata_entry_rate,eval_red_distance_and_aa_entry_rate,eval_red_ata_and_aa_entry_rate,eval_red_full_attack_envelope_entry_rate,eval_red_attack_to_kill_conversion_rate,eval_red_kill_rate,eval_red_mean_minimum_distance,eval_red_mean_minimum_combined_violation,eval_blue_within_4000_rate,eval_blue_attack_distance_entry_rate,eval_blue_ata_gate_rate,eval_blue_aa_gate_rate,eval_blue_distance_and_ata_entry_rate,eval_blue_distance_and_aa_entry_rate,eval_blue_ata_and_aa_entry_rate,eval_blue_full_attack_envelope_entry_rate,eval_blue_attack_to_kill_conversion_rate,eval_blue_kill_rate,eval_blue_mean_minimum_distance,eval_blue_mean_minimum_combined_violation
1,128,red,0,-0.0053021544590592384,2.7572654485702515,0.0010482429061084986,0.0,0.5240646302700043,6.239861249923706e-08,0.9999999403953552,1.0,0.28104008734226227,0.7760950922966003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.7265625,0.5859375,0.0546875,0.9921875,0.0,0.029999130182621396,0.08938494110719478,0.11686180773362251,0.18927971570285215,0.17423409740038107,0.21312875564906003,0.12358928292815108,0.46000968464665926,-0.00615327150808298,0.4817885720417531,0.02931040697149001,0.46413055800549774,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.6953125,0.578125,0.0859375,0.9765625,0.0,0.037487154344688495,0.2527021341733879,0.11318695211045726,0.18920297790571616,0.1695133456852191,0.21327555763777276,0.12554008035658626,0.47895113538836037,0.013849442220816854,0.46193921355634115,-0.01136309358116705,0.4577930353029033,0.4166666666666667,0.5833333333333334,0.0,1.0,0.9166666666666666,0.0,371.9166666666667,1.0,0.08333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1465.5998847866347,0.8856945385979301,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.08333333333333333,1.0,0.08333333333333333,1465.5998847866347,0.5915822783959741
2,256,red,0,-0.0022642947733402252,2.758569598197937,0.00039318110793828964,0.0,0.8470871150493622,2.7939677238464355e-09,0.9999997615814209,1.0,0.0025258667301386595,0.055208273231983185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0.8203125,0.5625,0.6796875,0.453125,0.9765625,0.0,1.0119005340293055,3.4266002637664,0.09400344563149898,0.18318823423311,0.14984747582085808,0.2103930853144998,0.07119286835040839,0.45230747520917114,-0.11227413505548611,0.4779128069746222,-0.0800765365947882,0.5027484154214639,nan,nan,nan,nan,nan,nan,nan,nan,0.90625,0.6796875,0.59375,0.4140625,0.984375,0.0,0.8543862031659225,3.4789676218673873,0.1010562487781789,0.17760282330406385,0.15813081973592424,0.19873069946042324,0.11872923254122725,0.49151016355061633,-0.10155220587330405,0.4791561207975364,-0.07798776854201606,0.46798652876620406,0.4166666666666667,0.5833333333333334,0.0,1.0,0.9166666666666666,0.0,371.9166666666667,1.0,0.08333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1465.5998847866347,0.8856945385979301,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.08333333333333333,1.0,0.08333333333333333,1465.5998847866347,0.5915822783959741
3,384,red,0,-0.002843710593879223,2.759965419769287,0.00070618512108922,0.0,0.6194353997707367,-8.009374141693115e-08,0.9999979734420776,1.0,0.0005844939005328342,0.05655357800424099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0.90625,0.359375,0.6953125,0.578125,0.96875,0.0,2.211949325668609,4.457597886079234,0.07749958751498626,0.16743105568439098,0.13965053302850078,0.19872036709261945,0.05942974275239976,0.4865047471577426,0.03252454233415847,0.46849975267041427,-0.16237098109195358,0.514778758893346,nan,nan,nan,nan,nan,nan,nan,nan,0.828125,0.3984375,0.5625,0.5,0.9609375,0.0,1.6586935878530435,4.443392606583709,0.08661785849354503,0.16310621001580047,0.13310159712236516,0.18628105843574916,0.11282120119722094,0.4752939804410511,0.03552263570782088,0.4437400499489224,-0.1128048376267543,0.45816843062606133,0.4166666666666667,0.5833333333333334,0.0,1.0,0.9166666666666666,0.0,371.9166666666667,1.0,0.08333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1465.5998847866347,0.8856945385979301,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.08333333333333333,1.0,0.08333333333333333,1465.5998847866347,0.5915822783959741
4,512,red,0,-0.0043463073670864105,2.760688304901123,0.0008040326647460461,0.0,0.7276113033294678,1.862645149230957e-09,0.9999986886978149,1.0,0.0003473927063168958,0.04421089217066765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0.8515625,0.453125,0.59375,0.515625,0.96875,0.0,1.878433463302128,4.262831206767126,0.09226616454525464,0.16806827240754046,0.14044713551333707,0.1985861927926579,0.16518747557165625,0.4143761939701892,0.08787415430560941,0.5093174098057262,-0.11983768442951259,0.4699956952465571,nan,nan,nan,nan,nan,nan,nan,nan,0.8671875,0.3359375,0.625,0.5078125,0.9375,0.0,1.9079432363287534,4.510907252088986,0.06972483946794944,0.16021137368972035,0.12435336735697589,0.18771422039041627,0.12687297191769176,0.44990713849248326,0.0017650765003054403,0.47862194069384656,-0.09645969091798179,0.5133181256481005,0.4166666666666667,0.5833333333333334,0.0,1.0,0.9166666666666666,0.0,371.9166666666667,1.0,0.08333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1465.5998847866347,0.8856945385979301,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.08333333333333333,1.0,0.08333333333333333,1465.5998847866347,0.5915822783959741
5,640,red,0,-0.0009306240826845169,2.761209726333618,0.0009205515962094069,0.0,0.37175455689430237,4.0978193283081055e-08,1.0,1.0,6.671854019165039,4.087624549865723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,-10.0,318.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.84375,0.421875,0.5859375,0.453125,0.9609375,0.0,1.5768548809065202,4.35269432851235,0.09022563631997316,0.17105945175805384,0.14401717646004625,0.20192916906295888,0.054907052261114586,0.45811127795155276,0.07882693533429119,0.493585896952528,-0.018196354947576765,0.47703390732523165,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8515625,0.40625,0.609375,0.484375,0.9375,0.0,1.842397019668173,4.562977117763856,0.07852911801675325,0.16528057793137996,0.1315470857366398,0.19415144318180189,0.07951464598590974,0.4549598782200355,-0.006379557716172712,0.47992872020152216,-0.0901786750764586,0.4741129652642651,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,383.6666666666667,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1369.698258175147,0.9633691218167505,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1369.698258175147,0.5938902303035333
6,768,red,0,-0.0012231040745973587,2.761752963066101,0.000411635497584939,0.0,0.39459672570228577,0.0,1.0,1.0,2.2632757425308228,1.0740520358085632,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.299999978393316,4.54999984242022,323.0,0.0,1.0,0.0,1.0,0.0,2,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.828125,0.65625,0.6484375,0.0859375,0.96875,0.0,0.05008028841407769,0.4204190949155571,0.10698516595409104,0.18534447389487024,0.16030043378273284,0.20886060840420373,0.045134185542337946,0.48836993865059114,0.01497969699994428,0.47050406621672025,0.1955625179762137,0.46370394309084206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.734375,0.546875,0.125,0.9765625,0.0,0.15705030505312434,0.8081879781379708,0.11849350038778331,0.1873736145319939,0.17455115016802658,0.21111345060750802,0.1263562405583798,0.4660188029640941,0.04063305875752121,0.47139812413338084,-0.010073182929772884,0.46157460814272605,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,383.6666666666667,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1369.698258175147,0.9633691218167505,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1369.698258175147,0.5938902303035333
7,896,red,0,-0.0013294126838445663,2.762645721435547,0.0005103917792439461,0.0,0.4643269330263138,1.210719347000122e-08,1.0,1.0,5.989090919494629,2.5305728912353516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.0,10.0,83.0,0.0,1.0,0.0,0.0,0.0,2,2,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.703125,0.625,0.265625,0.984375,0.0,0.3903297436211254,2.097386135253198,0.11685226393177593,0.1858139215457062,0.16900586988940056,0.21042193853384383,0.08074952923197998,0.4890246897055136,0.03873346330510685,0.5010857820447964,0.02280613648417784,0.4841563712115802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.890625,0.65625,0.59375,0.265625,0.984375,0.0,0.45826235087365663,2.609282796694612,0.10471232980320475,0.18089549023271548,0.1657830954617564,0.2031874708276,0.12667367102949356,0.4675481301796729,-0.014880156631988939,0.46921767139068604,-0.055629635947298084,0.47903070354076605,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,383.6666666666667,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1369.698258175147,0.9633691218167505,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1369.698258175147,0.5938902303035333
8,1024,red,0,-0.0019243117421865463,2.763054609298706,0.00044629420153796673,0.0,0.4510635435581207,-2.1420419216156006e-08,0.9999995231628418,1.0,0.00036763296520803124,0.027759910561144352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.53125,0.5390625,0.2421875,0.96875,0.0,0.39856225696198255,3.275996439516099,0.10861874517880674,0.18680424046442642,0.16564691978729182,0.21161108392035166,0.04442333313636482,0.4897464725504856,0.07452734161779517,0.46743472470130104,0.08844374370710284,0.4604742526607524,nan,nan,nan,nan,nan,nan,nan,nan,0.90625,0.3984375,0.578125,0.46875,0.953125,0.0,1.3171157994922582,4.494631879535739,0.07651336482947405,0.17636981066845403,0.1402336806550828,0.19704056227619382,0.24925739940317726,0.46580004202685366,-0.06864492551358126,0.42748979276819854,-0.08168555520023801,0.46748446455377846,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,383.6666666666667,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1369.698258175147,0.9633691218167505,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1369.698258175147,0.5938902303035333
9,1152,red,0,-0.0007268097251653671,2.763381838798523,0.0004497144836932421,0.0,0.9180775880813599,-1.4435499906539917e-08,0.9999992847442627,1.0,0.00018901462317444384,0.0177704906091094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,0.859375,0.4921875,0.6484375,0.296875,0.984375,0.0,0.7817877563100357,4.176596058273657,0.1065156518777431,0.18803172358171918,0.16872034690912216,0.2169526516555826,0.05129198815120617,0.48451207373301924,0.05453799446695484,0.4591583741074255,0.11361869557549653,0.47317071862181964,nan,nan,nan,nan,nan,nan,nan,nan,0.8515625,0.3125,0.5625,0.5234375,0.9296875,0.0,2.12547872891483,4.649541545299613,0.06057585517159319,0.15640563500016788,0.11707246494464256,0.18326305679964408,0.14916965562042606,0.4824744491230879,-0.03599541930452688,0.4949792191286511,-0.15891707497212337,0.455937443939932,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,383.6666666666667,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1369.698258175147,0.9633691218167505,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1369.698258175147,0.5938902303035333
10,1280,red,0,0.0008495771326124668,2.763750672340393,0.00020422926172614098,0.0,0.4695845693349838,-1.30385160446167e-08,0.9999984502792358,1.0,6.0401755035854876e-05,0.011355183087289333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.59375,0.53125,0.1796875,0.96875,0.0,0.4752386238810624,3.141543969968485,0.11772765229321183,0.1905819809833043,0.1821744713821009,0.22620395404676177,0.043957043825685105,0.4944249195624688,0.09723795679019531,0.47818996096644023,0.19776905036269454,0.41218771761347983,nan,nan,nan,nan,nan,nan,nan,nan,0.828125,0.34375,0.5703125,0.5390625,0.9296875,0.0,2.1349714853277773,4.65816382508511,0.06147249453817647,0.1556765292523499,0.11348585453442693,0.18213353993799467,0.1703864432638511,0.4783783461550628,-0.05727312693124986,0.45626831411347596,-0.1602093805122422,0.4417123449266805,0.6666666666666666,0.3333333333333333,0.0,1.0,0.9166666666666666,0.0,367.5,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1412.1452129736972,0.960637737966758,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1412.1452129736972,0.6771766534089715
11,1408,red,0,-0.0011152196675539017,2.7638803720474243,0.00013361009769141674,0.0,0.542217493057251,0.0,0.9999999403953552,1.0,0.7813287973403931,0.25549567490816116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.160000054165721,12.219999987632036,318.0,0.0,1.0,0.0,1.0,0.0,2,2,2,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.859375,0.671875,0.5625,0.171875,0.9921875,0.0,0.442061187747464,3.117250456113683,0.1350733011411918,0.19384715499058086,0.19559541759955235,0.23362930229008014,-0.031362829549834714,0.48069273862915246,0.14217151840421138,0.449537390327084,0.11722082346386742,0.4657579246454042,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.859375,0.5390625,0.6171875,0.3671875,0.9765625,0.0,1.0277038665166454,4.379040809515207,0.0989356938626546,0.18517523697226862,0.15530445473107854,0.20758760603914828,0.1674614909061347,0.45038490060164277,0.015043454373881104,0.4642652194602229,-0.08081830854644068,0.5039052709750782,0.6666666666666666,0.3333333333333333,0.0,1.0,0.9166666666666666,0.0,367.5,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1412.1452129736972,0.960637737966758,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1412.1452129736972,0.6771766534089715
12,1536,red,0,-0.001531262882053852,2.764159321784973,0.0001564682461321354,0.0,0.621034562587738,-1.862645149230957e-08,0.9999999403953552,1.0,6.100048303604126,3.1771461963653564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,-10.0,318.0,1.0,0.0,0.0,1.0,0.0,3,2,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8671875,0.7421875,0.6484375,0.03125,0.9765625,0.0,0.07308665259531144,8.881784197001252e-16,0.13962171064014442,0.19901243590955098,0.19351314243662682,0.23496342871587333,0.0608217702319962,0.4709262196319358,0.1089023863823968,0.45062048394763704,0.24972406734741526,0.460501398898537,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.859375,0.5703125,0.625,0.2578125,0.9765625,0.0,0.5530762255015856,3.6063058780025012,0.10538484931868214,0.17722500756481008,0.15749889419604318,0.19945496867983709,0.1451799611259048,0.4290406181506944,0.027522341690200847,0.4280938908188772,-0.06852525079375482,0.47604381338530494,0.6666666666666666,0.3333333333333333,0.0,1.0,0.9166666666666666,0.0,367.5,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1412.1452129736972,0.960637737966758,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1412.1452129736972,0.6771766534089715
13,1664,red,0,-0.000722743570804596,2.7646167278289795,0.0001614261418581009,0.0,0.28906747698783875,-2.2351741790771484e-08,0.9999999403953552,1.0,0.0955728068947792,0.45855294167995453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,2,2,2,1,nan,nan,nan,nan,nan,nan,nan,nan,0.8203125,0.703125,0.6796875,0.1328125,0.9765625,0.0,0.15275685093904168,1.4395607091448284,0.13260679538467837,0.20058428342966067,0.1949666065595469,0.23969766853459867,-0.05087377929885406,0.43447778181692964,0.09316882974235341,0.4556603384906501,0.16311472540837713,0.4849183679772731,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.59375,0.578125,0.265625,0.96875,0.0,0.6972264377889491,3.5897722374765006,0.1029419494241559,0.1761580855997676,0.15116421992320483,0.19333373785248714,0.12979303750944382,0.46337164863196223,0.06867344097554451,0.46103027752883696,-0.02002745097161096,0.48502636011998496,0.6666666666666666,0.3333333333333333,0.0,1.0,0.9166666666666666,0.0,367.5,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1412.1452129736972,0.960637737966758,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1412.1452129736972,0.6771766534089715
14,1792,red,0,-0.0003468682989478111,2.765026807785034,0.00020904187113046646,0.0,0.2965996712446213,2.1420419216156006e-08,0.9999998807907104,1.0,0.009943545795977116,0.167488232254982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,2,2,2,1,nan,nan,nan,nan,nan,nan,nan,nan,0.8828125,0.6640625,0.59375,0.2265625,1.0,0.0,0.3727058137811757,2.4523939776588417,0.13483384493461417,0.20045202339826143,0.20634979968553707,0.24265599164209725,0.016504871626239037,0.49726478403377095,0.11793173758269404,0.4529522985339719,0.10915391621529125,0.4816112407054634,nan,nan,nan,nan,nan,nan,nan,nan,0.8671875,0.5390625,0.5546875,0.4921875,0.921875,0.0,1.493132269292281,4.501051252326527,0.08522119915097054,0.17038454468393213,0.13420539810954812,0.18944098617081895,0.10357995368167394,0.47239380949316123,-0.03455156699874351,0.45588117763859765,-0.12590898623784597,0.4565554560450894,0.6666666666666666,0.3333333333333333,0.0,1.0,0.9166666666666666,0.0,367.5,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1412.1452129736972,0.960637737966758,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,0.08333333333333333,1412.1452129736972,0.6771766534089715
15,1920,red,0,-0.00030895601958036423,2.7654433250427246,0.00018752343021333218,0.0,0.547396719455719,-1.6763806343078613e-08,0.9999991655349731,1.0,0.0004713403759524226,0.0327329533174634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,2,2,2,1,nan,nan,nan,nan,nan,nan,nan,nan,0.8671875,0.515625,0.4609375,0.21875,1.0,0.0,0.4965603727199624,3.6974687218571436,0.13405244375461828,0.20094922329009884,0.2121428748908778,0.2443848564634189,-0.007718898530583829,0.4747504821573045,0.14087244332949922,0.4531718551305511,0.18125218640852836,0.47281663258159823,nan,nan,nan,nan,nan,nan,nan,nan,0.8515625,0.421875,0.5625,0.3984375,0.9453125,0.0,1.4588426219532251,4.3772902833842595,0.08595029585113018,0.16028528861186386,0.1352791045387131,0.18471071059992863,0.15184839397625183,0.4388337921113351,0.058445558650419116,0.4841207287881437,-0.030617858446930768,0.4718040471258144,0.25,0.75,0.0,1.0,1.0,0.0,348.9166666666667,1.0,0.3333333333333333,0.5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1206.1345308835132,0.6751047689403625,1.0,0.3333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1206.1345308835132,0.6917549928165759
16,2048,red,0,-8.45612958073616e-05,2.765698194503784,0.00013198121450841427,0.0,0.6851193904876709,4.6566128730773926e-09,1.0,1.0,6.347927570343018,3.9672133922576904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.0,10.0,347.0,0.0,1.0,0.0,1.0,0.0,3,3,2,2,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.875,0.65625,0.4140625,0.125,1.0,0.0,0.2627631653507988,1.8180608094544863,0.14019791736256282,0.20311054369658765,0.20625866745011395,0.24324452104433225,-0.08400676595920231,0.48973049295827303,0.14521193415384914,0.44751223619010877,0.13995264828918152,0.4591512881879256,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.890625,0.3828125,0.5390625,0.421875,0.9453125,0.0,1.4260551677923528,4.240320916039701,0.07807018122772323,0.16257735848797572,0.13874991206197343,0.1898246123293904,0.14068093810965365,0.4950186384909468,-0.03490486865666753,0.46590476610584436,-0.1435528968804647,0.46991871321875933,0.25,0.6666666666666666,0.08333333333333333,0.9166666666666666,1.0,0.0,340.1666666666667,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1126.8017390501036,0.6051715592901957,1.0,0.4166666666666667,0.8333333333333334,1.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1126.8017390501036,0.6988650479253066
17,2176,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0031084399670362473,2.7566654682159424,0.0010969855356961489,0.0,0.2989507466554642,2.0489096641540527e-08,0.9999999403953552,1.0,0.053111255168914795,0.31554014980793,nan,nan,nan,nan,nan,nan,nan,nan,4,3,3,2,2,nan,nan,nan,nan,nan,nan,nan,nan,0.890625,0.6953125,0.671875,0.0078125,0.9921875,0.0,0.0011619115483793888,1.5404344466673881e-16,0.12150487660027717,0.19041081682277228,0.17792219159685968,0.21587426300625379,0.007440986393703497,0.4873371734075491,0.08889005713899678,0.4895513975856232,0.33144338925922057,0.4153169469326596,nan,nan,nan,nan,nan,nan,nan,nan,0.8984375,0.625,0.59375,0.0625,0.984375,0.0,0.07108281827737048,0.4660008374850184,0.11272282483113281,0.18671067249477413,0.1767490032530034,0.20948110178037768,0.1108633058029227,0.4690295703254466,-0.023101191502064466,0.46066383213633677,0.00950372259831056,0.5016955913798523,0.25,0.6666666666666666,0.08333333333333333,0.9166666666666666,1.0,0.0,340.1666666666667,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1126.8017390501036,0.6051715592901957,1.0,0.4166666666666667,0.8333333333333334,1.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1126.8017390501036,0.6988650479253066
